(1706742000000,2,33.0,3391000)
(1706745600000,2,4436.0,2322000)
(1706749200000,2,1667.0,2388000)
(1706752800000,2,842.0,3108000)
(1706756400000,2,915.0,3355000)
(1706760000000,2,920.0,2865000)
(1706763600000,2,1706.0,3292000)
(1706767200000,2,3422.0,3413000)
(1706770800000,2,7315.0,3099000)
(1706774400000,2,10202.0,3252000)
(1706778000000,2,10833.0,2777000)
(1706781600000,2,11768.0,3207000)
(1706785200000,2,11872.0,3375000)
(1706788800000,2,13146.0,2227000)
(1706792400000,2,14269.0,1577000)
(1706796000000,2,15732.0,2765000)
(1706799600000,2,15357.0,3003000)
(1706803200000,2,17920.0,2765000)
(1706806800000,2,19840.0,1753000)
(1706810400000,2,21146.0,2490000)
(1706814000000,2,18281.0,3037000)
(1706817600000,2,16823.0,3385000)
(1706821200000,2,17028.0,1091000)
(1706824800000,2,16331.0,3130000)
(1706828400000,2,10862.0,2616000)
(1706832000000,2,6151.0,2266000)
(1706835600000,2,2838.0,2777000)
(1706839200000,2,1444.0,3136000)
(1706842800000,2,973.0,3306000)
(1706846400000,2,1311.0,3434000)
(1706850000000,2,1670.0,2373000)
(1706853600000,2,3201.0,3521000)
(1706857200000,2,6398.0,2576000)
(1706860800000,2,9695.0,3214000)
(1706864400000,2,10466.0,2575000)
(1706868000000,2,10133.0,3150000)
(1706871600000,2,10513.0,2930000)
(1706875200000,2,11872.0,2918000)
(1706878800000,2,12297.0,3532000)
(1706882400000,2,14141.0,1744000)
(1706886000000,2,14049.0,3381000)
(1706889600000,2,16300.0,2225000)
(1706893200000,2,17552.0,1044000)
(1706896800000,2,16734.0,3459000)
(1706900400000,2,15854.0,3550000)
(1706904000000,2,13746.0,3193000)
(1706907600000,2,12995.0,2678000)
(1706911200000,2,13769.0,3001000)
(1706914800000,2,4541.0,1420000)
(1706918400000,2,11046.0,3510000)
(1706922000000,2,8982.0,3298000)
(1706925600000,2,6018.0,3419000)
(1706929200000,2,3550.0,2995000)
(1706932800000,2,1926.0,3517000)
(1706936400000,2,1463.0,3405000)
(1706940000000,2,1640.0,3437000)
(1706943600000,2,2900.0,3547000)
(1706947200000,2,3799.0,2501000)
(1706950800000,2,5786.0,3272000)
(1706954400000,2,7690.0,3236000)
(1706958000000,2,8967.0,3278000)
(1706961600000,2,10257.0,2546000)
(1706965200000,2,11259.0,2497000)
(1706968800000,2,12978.0,3598000)
(1706972400000,2,12922.0,2904000)
(1706976000000,2,15812.0,3581000)
(1706979600000,2,14870.0,2362000)
(1706983200000,2,14688.0,2755000)
(1706986800000,2,14243.0,3429000)
(1706990400000,2,13111.0,2699000)
(1706994000000,2,13302.0,3568000)
(1706997600000,2,1617.0,-1)
(1706745600000,1,1026.0,2322000)
(1706749200000,1,347.0,2388000)
(1706752800000,1,229.0,3108000)
(1706756400000,1,208.0,3355000)
(1706760000000,1,213.0,2865000)
(1706763600000,1,568.0,3292000)
(1706767200000,1,1068.0,3413000)
(1706770800000,1,2541.0,3099000)
(1706774400000,1,3426.0,3252000)
(1706778000000,1,3468.0,2777000)
(1706781600000,1,3486.0,3207000)
(1706785200000,1,3474.0,3375000)
(1706788800000,1,3883.0,2227000)
(1706792400000,1,4048.0,1577000)
(1706796000000,1,5093.0,2765000)
(1706799600000,1,4649.0,3003000)
(1706803200000,1,5341.0,2765000)
(1706806800000,1,5989.0,1753000)
(1706810400000,1,6006.0,2490000)
(1706814000000,1,4893.0,3037000)
(1706817600000,1,4363.0,3385000)
(1706821200000,1,4476.0,1091000)
(1706824800000,1,4277.0,3130000)
(1706828400000,1,2827.0,2616000)
(1706832000000,1,1477.0,2266000)
(1706835600000,1,807.0,2777000)
(1706839200000,1,354.0,3136000)
(1706842800000,1,279.0,3306000)
(1706846400000,1,365.0,3434000)
(1706850000000,1,565.0,2373000)
(1706853600000,1,1108.0,3521000)
(1706857200000,1,2453.0,2576000)
(1706860800000,1,3092.0,3214000)
(1706864400000,1,3329.0,2575000)
(1706868000000,1,3392.0,3150000)
(1706871600000,1,3613.0,2930000)
(1706875200000,1,3811.0,2918000)
(1706878800000,1,4052.0,3532000)
(1706882400000,1,4388.0,1744000)
(1706886000000,1,4259.0,3381000)
(1706889600000,1,5069.0,2225000)
(1706893200000,1,5043.0,1044000)
(1706896800000,1,4857.0,3459000)
(1706900400000,1,4065.0,3550000)
(1706904000000,1,3615.0,3193000)
(1706907600000,1,3853.0,2678000)
(1706911200000,1,3799.0,3001000)
(1706914800000,1,1414.0,1420000)
(1706918400000,1,2947.0,3510000)
(1706922000000,1,2559.0,3298000)
(1706925600000,1,1740.0,3419000)
(1706929200000,1,1083.0,2995000)
(1706932800000,1,540.0,3517000)
(1706936400000,1,326.0,3405000)
(1706940000000,1,468.0,3437000)
(1706943600000,1,777.0,3547000)
(1706947200000,1,1134.0,2501000)
(1706950800000,1,1673.0,3272000)
(1706954400000,1,2504.0,3236000)
(1706958000000,1,2571.0,3278000)
(1706961600000,1,3080.0,2546000)
(1706965200000,1,3402.0,2497000)
(1706968800000,1,3996.0,3598000)
(1706972400000,1,3957.0,2904000)
(1706976000000,1,4403.0,3581000)
(1706979600000,1,4295.0,2362000)
(1706983200000,1,4210.0,2755000)
(1706986800000,1,4357.0,3429000)
(1706990400000,1,3606.0,2699000)
(1706994000000,1,3400.0,3568000)
(1706997600000,1,666.0,-1)
